a1,a2,a3,a4,a5,a6,intercept,T,A,B,C
-3.709050238690036e-12,-9.271408523944461e-10,-3.189025187662438e-07,6.045734643943293e-10,-3.975844385917607e-13,8.873117005845376e-17,30.902114640934705,11,1.305,0.009,0.0001
-3.710759844833677e-12,-9.27568197823141e-10,-3.190495099444798e-07,6.048589903249804e-10,-3.9777546255183177e-13,8.877434886542639e-17,30.91104884406255,11,1.305,0.009,0.000130
-3.7124599857244565e-12,-9.279931772492875e-10,-3.1919568730450795e-07,6.051429123805338e-10,-3.979654015942119e-13,8.881728032681662e-17,30.9199385751686,11,1.305,0.009,0.000160
-3.7141565906928235e-12,-9.284172728109521e-10,-3.193415606475868e-07,6.05426186666522e-10,-3.9815488125472445e-13,8.886010389122011e-17,30.92882068090354,11,1.305,0.009,0.000190
-3.715801256292558e-12,-9.288283852352136e-10,-3.1948296826698586e-07,6.057006565597836e-10,-3.9833841303725324e-13,8.890157419379602e-17,30.93746552906199,11,1.305,0.009,0.000220
-3.7174575914969836e-12,-9.29242414677534e-10,-3.1962537923366174e-07,6.059771759814785e-10,-3.985233572724592e-13,8.894336923423261e-17,30.946146202109034,11,1.305,0.009,0.000250
-3.719108341512609e-12,-9.296550480058617e-10,-3.1976730998816626e-07,6.06252834833001e-10,-3.987077549510946e-13,8.898504490943719e-17,30.954774496974665,11,1.305,0.009,0.000280
-3.720726425569963e-12,-9.300595159171893e-10,-3.199064321386912e-07,6.065226430441422e-10,-3.9888804140408873e-13,8.902575705170629e-17,30.963311175051885,11,1.305,0.009,0.000310
-3.7223375688109715e-12,-9.304622488521279e-10,-3.200449575207912e-07,6.067913628541721e-10,-3.990676357905885e-13,8.906631913581901e-17,30.971798425078088,11,1.305,0.009,0.000340
-3.7239309663492495e-12,-9.308605459438755e-10,-3.201819571353596e-07,6.070570431090343e-10,-3.9924516559947193e-13,8.910641026578088e-17,30.98021342433386,11,1.305,0.009,0.000370
-3.725487014669912e-12,-9.312495069570276e-10,-3.203157454808206e-07,6.073164458788443e-10,-3.9941846415982706e-13,8.91455376471264e-17,30.988431509246436,11,1.305,0.009,0.000400
-3.717422979391474e-12,-9.29233762838571e-10,-3.1962240336355213e-07,6.059316559494382e-10,-3.984736133800129e-13,8.8928834622354e-17,30.955235789025352,11,1.305,0.0105,0.0001
-3.7146852087448e-12,-9.285494100099409e-10,-3.1938701103591326e-07,6.05487765211689e-10,-3.9818310746263184e-13,8.886427028929782e-17,30.937803444307836,11,1.305,0.01,0.0001
-3.723469682276894e-12,-9.307452404974466e-10,-3.201422966681699e-07,6.066458967077874e-10,-3.988239276570239e-13,8.898815669666254e-17,31.10697784032463,11,1.355,0.0095,0.0001
-3.721094389848639e-12,-9.301514953294654e-10,-3.1993807005967467e-07,6.062608908038031e-10,-3.9857202049713696e-13,8.893218220694493e-17,31.091828565091767,11,1.355,0.009,0.0001
-3.728053779883089e-12,-9.318911144855643e-10,-3.2053643538620554e-07,6.073874692312479e-10,-3.993083780661786e-13,8.909566633992186e-17,31.13651363375324,11,1.355,0.0105,0.0001
-3.725789494621013e-12,-9.31325117465529e-10,-3.203417531240551e-07,6.07021369821755e-10,-3.990693190645007e-13,8.904263354356938e-17,31.12188372189586,11,1.355,0.01,0.0001
-3.732396531281861e-12,-9.32976660140674e-10,-3.2090982363133794e-07,6.078586075175432e-10,-3.995139585670608e-13,8.912505867625909e-17,31.26288382789921,11,1.405,0.0095,0.0001
