	65.0	70.0	75.0	65.0	70.0	75.0	
526.0	44.245	43.673	43.352	21.948	18.101	16.479	
527.0	44.124	43.551	43.243	21.919	18.041	16.467	
528.0	44.004	43.43	43.136	21.871	18.015	16.444	
529.0	43.884	43.31	43.029	21.848	17.935	16.346	
530.0	43.766	43.191	42.923	21.807	17.963	16.332	
531.0	43.648	43.073	42.819	21.787	17.894	16.282	
532.0	43.532	42.956	42.715	21.792	17.872	16.249	
533.0	43.416	42.84	42.612	21.715	17.836	16.21	
534.0	43.301	42.725	42.51	21.688	17.765	16.173	
535.0	43.187	42.612	42.41	21.675	17.736	16.118	
536.0	43.074	42.499	42.31	21.642	17.728	16.071	
537.0	42.962	42.387	42.211	21.635	17.67	16.051	
538.0	42.851	42.276	42.113	21.595	17.649	16.008	
539.0	42.74	42.166	42.015	21.569	17.626	15.99	
540.0	42.63	42.057	41.919	21.55	17.587	15.938	
541.0	42.522	41.949	41.823	21.51	17.537	15.923	
542.0	42.414	41.842	41.729	21.482	17.509	15.858	
543.0	42.306	41.736	41.635	21.476	17.461	15.814	
544.0	42.2	41.63	41.542	21.431	17.422	15.773	
545.0	42.094	41.526	41.45	21.41	17.437	15.761	
546.0	41.99	41.422	41.358	21.352	17.352	15.71	
547.0	41.886	41.319	41.267	21.367	17.317	15.707	
548.0	41.782	41.217	41.177	21.329	17.285	15.648	
549.0	41.68	41.116	41.088	21.326	17.238	15.622	
550.0	41.578	41.016	41.0	21.261	17.228	15.591	
551.0	41.477	40.916	40.912	21.239	17.193	15.54	
552.0	41.377	40.817	40.825	21.241	17.157	15.508	
553.0	41.278	40.719	40.738	21.207	17.129	15.477	
554.0	41.179	40.622	40.653	21.168	17.077	15.44	
555.0	41.081	40.526	40.568	21.16	17.056	15.395	
556.0	40.984	40.43	40.483	21.131	17.016	15.362	
557.0	40.887	40.335	40.4	21.103	16.947	15.317	
558.0	40.792	40.241	40.317	21.084	16.962	15.3	
559.0	40.696	40.147	40.234	21.046	16.928	15.278	
560.0	40.602	40.054	40.153	21.019	16.886	15.228	
561.0	40.508	39.962	40.071	21.007	16.84	15.186	
562.0	40.415	39.871	39.991	21.0	16.812	15.184	
563.0	40.323	39.78	39.911	20.961	16.801	15.133	
564.0	40.231	39.69	39.832	20.944	16.75	15.126	
565.0	40.14	39.601	39.753	20.9	16.721	15.064	
566.0	40.05	39.512	39.675	20.879	16.684	15.074	
567.0	39.96	39.424	39.597	20.845	16.66	15.01	
568.0	39.871	39.336	39.52	20.818	16.626	14.969	
569.0	39.782	39.25	39.443	20.805	16.591	14.939	
570.0	39.695	39.163	39.367	20.791	16.566	14.891	
571.0	39.607	39.078	39.292	20.756	16.54	14.877	
572.0	39.521	38.993	39.217	20.734	16.528	14.866	
573.0	39.435	38.909	39.143	20.719	16.489	14.815	
574.0	39.349	38.825	39.069	20.685	16.473	14.755	
575.0	39.265	38.742	38.995	20.662	16.434	14.74	
576.0	39.18	38.659	38.923	20.631	16.404	14.719	
577.0	39.097	38.577	38.85	20.644	16.385	14.694	
578.0	39.014	38.496	38.778	20.618	16.331	14.681	
579.0	38.931	38.415	38.707	20.576	16.316	14.62	
580.0	38.849	38.334	38.636	20.577	16.277	14.621	
581.0	38.768	38.254	38.565	20.535	16.251	14.584	
582.0	38.687	38.175	38.495	20.524	16.22	14.522	
583.0	38.607	38.096	38.426	20.504	16.18	14.507	
584.0	38.527	38.018	38.357	20.492	16.17	14.517	
585.0	38.448	37.941	38.288	20.442	16.155	14.449	
586.0	38.369	37.863	38.22	20.431	16.123	14.417	
587.0	38.291	37.787	38.152	20.436	16.098	14.362	
588.0	38.214	37.711	38.084	20.408	16.07	14.357	
589.0	38.136	37.635	38.017	20.364	16.041	14.332	
590.0	38.06	37.56	37.951	20.345	16.005	14.287	
591.0	37.984	37.485	37.885	20.333	15.99	14.25	
592.0	37.908	37.411	37.819	20.31	15.918	14.221	
593.0	37.833	37.337	37.753	20.296	15.969	14.198	
594.0	37.759	37.264	37.688	20.283	15.892	14.209	
595.0	37.685	37.191	37.624	20.24	15.88	14.155	
596.0	37.611	37.118	37.559	20.22	15.879	14.124	
597.0	37.538	37.046	37.496	20.21	15.839	14.089	
598.0	37.465	36.975	37.432	20.202	15.8	14.07	
599.0	37.393	36.904	37.369	20.184	15.748	14.033	
600.0	37.321	36.833	37.306	20.146	15.774	14.024	
601.0	37.25	36.763	37.244	20.111	15.734	13.982	
602.0	37.179	36.693	37.182	20.089	15.676	13.946	
603.0	37.109	36.624	37.12	20.073	15.681	13.918	
604.0	37.039	36.555	37.059	20.062	15.645	13.915	
605.0	36.969	36.486	36.998	20.041	15.608	13.859	
606.0	36.9	36.418	36.937	20.03	15.616	13.815	
607.0	36.832	36.351	36.877	19.998	15.592	13.779	
608.0	36.763	36.283	36.817	20.014	15.535	13.804	
609.0	36.696	36.216	36.757	19.982	15.547	13.748	
610.0	36.628	36.15	36.698	19.959	15.505	13.733	
611.0	36.561	36.084	36.639	19.939	15.468	13.708	
612.0	36.495	36.018	36.58	19.937	15.48	13.705	
613.0	36.428	35.952	36.521	19.905	15.44	13.625	
614.0	36.363	35.887	36.463	19.873	15.416	13.633	
615.0	36.297	35.823	36.405	19.872	15.373	13.599	
616.0	36.232	35.758	36.348	19.848	15.366	13.567	
617.0	36.168	35.694	36.291	19.833	15.339	13.548	
618.0	36.104	35.631	36.234	19.81	15.324	13.544	
619.0	36.04	35.568	36.177	19.793	15.289	13.484	
620.0	35.976	35.505	36.121	19.769	15.26	13.464	
621.0	35.913	35.442	36.065	19.744	15.245	13.463	
622.0	35.851	35.38	36.009	19.758	15.223	13.435	
623.0	35.788	35.318	35.953	19.727	15.19	13.375	
624.0	35.726	35.257	35.898	19.705	15.17	13.372	
625.0	35.665	35.195	35.843	19.678	15.168	13.392	
626.0	35.604	35.134	35.788	19.681	15.12	13.311	
627.0	35.543	35.074	35.734	19.667	15.098	13.304	
628.0	35.482	35.014	35.68	19.638	15.06	13.283	
629.0	35.422	34.954	35.626	19.635	15.075	13.294	
630.0	35.362	34.894	35.572	19.57	15.013	13.233	
631.0	35.303	34.835	35.519	19.565	15.066	13.236	
632.0	35.243	34.776	35.465	19.575	15.011	13.141	
633.0	35.185	34.717	35.413	19.564	14.965	13.12	
634.0	35.126	34.659	35.36	19.51	14.954	13.069	
635.0	35.068	34.601	35.307	19.493	14.942	13.106	
636.0	35.01	34.543	35.255	19.49	14.951	13.106	
637.0	34.953	34.485	35.203	19.498	14.872	13.056	
638.0	34.895	34.428	35.152	19.454	14.846	13.046	
639.0	34.838	34.371	35.1	19.459	14.818	13.027	
640.0	34.782	34.315	35.049	19.425	14.799	13.018	
641.0	34.726	34.258	34.998	19.452	14.778	12.939	
642.0	34.67	34.202	34.947	19.402	14.772	12.986	
643.0	34.614	34.146	34.896	19.387	14.721	12.945	
644.0	34.559	34.091	34.846	19.404	14.727	12.899	
645.0	34.504	34.035	34.796	19.385	14.71	12.869	
646.0	34.449	33.98	34.746	19.341	14.67	12.857	
647.0	34.394	33.926	34.696	19.34	14.697	12.832	
648.0	34.34	33.871	34.647	19.298	14.644	12.833	
649.0	34.286	33.817	34.597	19.29	14.633	12.793	
650.0	34.233	33.763	34.548	19.268	14.571	12.757	
651.0	34.179	33.709	34.5	19.249	14.593	12.771	
652.0	34.126	33.656	34.451	19.245	14.544	12.718	
653.0	34.074	33.603	34.402	19.224	14.556	12.69	
654.0	34.021	33.55	34.354	19.213	14.505	12.636	
655.0	33.969	33.497	34.306	19.188	14.528	12.643	
656.0	33.917	33.445	34.258	19.173	14.551	12.655	
657.0	33.865	33.392	34.211	19.182	14.495	12.58	
658.0	33.814	33.34	34.163	19.145	14.451	12.585	
659.0	33.763	33.289	34.116	19.135	14.393	12.576	
660.0	33.712	33.237	34.069	19.131	14.406	12.557	
661.0	33.661	33.186	34.022	19.149	14.366	12.521	
662.0	33.611	33.135	33.975	19.141	14.38	12.487	
663.0	33.561	33.084	33.929	19.085	14.354	12.478	
664.0	33.511	33.033	33.882	19.067	14.358	12.46	
665.0	33.461	32.983	33.836	19.05	14.329	12.422	
666.0	33.412	32.933	33.79	19.037	14.283	12.4	
667.0	33.363	32.883	33.744	19.049	14.264	12.403	
668.0	33.314	32.833	33.699	19.03	14.28	12.379	
669.0	33.266	32.784	33.653	19.015	14.24	12.357	
670.0	33.217	32.734	33.608	18.996	14.227	12.341	
671.0	33.169	32.685	33.563	18.983	14.189	12.272	
672.0	33.121	32.637	33.518	18.968	14.151	12.307	
673.0	33.074	32.588	33.473	18.924	14.153	12.286	
674.0	33.026	32.539	33.428	18.939	14.161	12.278	
675.0	32.979	32.491	33.384	18.916	14.153	12.296	
676.0	32.932	32.443	33.34	18.918	14.072	12.203	
677.0	32.885	32.395	33.296	18.905	14.111	12.199	
678.0	32.839	32.348	33.252	18.877	14.073	12.219	
679.0	32.792	32.3	33.208	18.874	14.028	12.143	
680.0	32.746	32.253	33.164	18.865	14.013	12.153	
681.0	32.7	32.206	33.121	18.846	13.999	12.088	
682.0	32.655	32.159	33.077	18.845	14.005	12.109	
683.0	32.609	32.113	33.034	18.808	13.954	12.072	
684.0	32.564	32.066	32.991	18.784	13.945	12.093	
685.0	32.519	32.02	32.948	18.793	13.961	12.052	
686.0	32.474	31.974	32.906	18.775	13.924	12.002	
687.0	32.43	31.928	32.863	18.777	13.89	11.991	
688.0	32.385	31.882	32.821	18.772	13.868	11.962	
689.0	32.341	31.837	32.779	18.761	13.903	11.957	
690.0	32.297	31.791	32.737	18.716	13.875	11.965	
691.0	32.254	31.746	32.695	18.724	13.843	11.91	
692.0	32.21	31.701	32.653	18.709	13.782	11.94	
693.0	32.167	31.657	32.611	18.696	13.781	11.891	
694.0	32.124	31.612	32.57	18.682	13.775	11.898	
695.0	32.081	31.568	32.528	18.653	13.738	11.859	
696.0	32.038	31.523	32.487	18.654	13.704	11.854	
697.0	31.995	31.479	32.446	18.647	13.742	11.818	
698.0	31.953	31.435	32.405	18.656	13.697	11.76	
699.0	31.911	31.391	32.364	18.615	13.678	11.745	
